@relation 'project-crime-binary-weka.filters.supervised.instance.Resample-B0.0-S1-Z14.16-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V-weka.filters.unsupervised.attribute.Remove-R1-3,5-12,14-15,17-19,21-27,29-32,34-41,43,45-50,52-67,70-73,75-77,79-101'

@attribute pctWhite numeric
@attribute medIncome numeric
@attribute pctWdiv numeric
@attribute medFamIncome numeric
@attribute persPoverty numeric
@attribute pctUnemploy numeric
@attribute pctAllDivorc numeric
@attribute pct2Par numeric
@attribute pctKidsBornNevrMarr numeric
@attribute pctPersOwnOccup numeric
@attribute pctPopDenseHous numeric
@attribute pctHousOwnerOccup numeric
@attribute pctHousWOphone numeric
@attribute Class {0,1}

@data
93.76,21762,34.71,28750,2965,10.96,15.23,66.09,3.63,60.23,2.73,57.03,7.9,0
73.76,22279,33.15,27543,44544,9.01,14.13,59.54,6.73,62.16,1.56,58.74,4.98,0
59.89,17897,24.83,21433,6570,11.51,13.82,62.93,7.41,45.03,17.57,47.37,12.69,0
44.22,21885,25.35,26230,21011,10.85,14.81,52.66,10.59,47.41,7.49,47.16,11.68,0
75.51,25152,44.7,34493,16903,6.09,10.8,53.15,8.96,42.85,2.21,38.3,6.74,0
96.13,24474,40.85,29820,4238,6.9,15.32,68.4,2.89,54.38,3.55,51.92,5.63,0
90.6,14868,28.09,19744,4434,8.52,15.41,63.66,3.67,56.43,2.67,55.9,11.42,0
78.24,27555,43.39,33746,52903,6.32,14.37,68.56,3.69,61.91,4.91,57.33,6.53,0
49.64,18546,27.78,23151,13710,11.25,14.05,55.85,9.08,56.95,5.54,56.64,10.81,0
99.04,32624,51.51,37788,580,2.91,9.13,80.59,0.56,72.54,0.75,67.79,0.68,0
97.59,22497,47.71,31494,3772,6.14,6.8,75.21,2.33,68.49,1.81,63.6,3.52,0
86.17,25983,42.89,31972,12999,6.26,12.07,65.5,6.05,61.46,2.98,56.65,3.54,0
86.84,21040,39.44,26238,4201,11.58,12.58,66.1,3.85,60.95,1.3,59.26,7.78,0
88.23,58995,64.87,62513,733,3.68,4.56,89.93,0.77,91.16,1.32,91.08,0.26,0
64.62,35788,26.04,38135,17853,7.32,12.05,73.79,5.3,57.91,16.44,58.59,5.37,0
70.79,34801,35.13,40054,26280,6.91,12.41,73,3.98,58.86,10.82,56.27,3.63,0
78.85,41965,42.31,50040,4878,5.19,12.23,75,2.4,63.96,6.44,60.34,2.15,0
80.74,43946,71.66,50098,15614,6.46,14.62,75.08,3.32,55.96,4.89,52.81,3.4,0
65.09,19433,31.57,25523,4922,7.46,12.75,56.04,7.89,52.36,3.97,52.26,11.53,0
64.94,35516,41.03,41012,3966,5.37,15.58,54.67,9.73,49.08,3.16,47.76,4.62,0
54.5,19099,27.94,26067,6387,11.53,14.4,57.07,6.83,61.06,2.87,60.43,9.26,0
95.48,18683,27.23,22848,4796,8.99,17.24,58.34,5.76,48.89,5.74,45.32,12.17,0
77.39,20463,32.53,25812,4906,7.81,14.58,67.45,3.69,65.27,2.87,66.56,10.74,0
68.79,21078,31.43,27045,5347,7.38,14.22,60.37,6.34,53.09,2.84,51.38,11.16,0
35.42,20754,25.92,25366,3889,11.82,17.13,35.83,21.31,28.17,9.95,23.05,9.69,0
85.19,24294,36.38,30781,2011,3.91,13.66,65.15,4.44,59.44,2.16,57.62,6.75,0
79.09,22267,36.64,28629,9442,5.56,14.32,61.77,4.71,60.24,1.56,56.64,4.94,0
95.98,23579,52.55,32188,2640,6.19,14.49,64.16,1.66,56.82,1.88,51.58,4.35,0
77.22,24986,35.62,29773,5001,7.65,13.63,64.13,5.34,61.56,5.08,59.28,9.9,0
96.59,26576,42.74,34837,8783,6.75,13.46,63.98,4.91,48.55,1.35,42.13,4.49,0
92.35,30007,37.01,35198,3498,4.92,17.29,64.76,2.98,50.8,4.24,48.78,4.46,0
96.25,25168,51.01,31773,6325,4.82,9.2,75.13,1.67,60.88,1.46,56.98,2.57,0
29.6,30727,34.26,36256,96278,7.03,15.03,41.96,18.2,42.91,8.25,38.9,4.22,0
82.41,33214,42.32,38614,16288,4.71,15.16,71.18,3.14,62.93,2.91,58.69,2.78,0
70.56,25414,40.55,33481,80369,6.32,13.62,68.53,4.49,45.91,6.76,40.58,7.47,0
58.93,24292,20.69,26520,4493,11.09,12.74,67.21,5.48,62.03,17.88,60.91,14.52,0
